Col,Row,Surface,Thickness,Bed
2592,1874,-9999,-9999,-321
2593,1874,-9999,-9999,-312
2594,1874,-9999,-9999,-305
2595,1874,-9999,-9999,-300
2596,1874,-9999,-9999,-300
2597,1874,-9999,-9999,-300
2598,1874,-9999,-9999,-299
2599,1874,-9999,-9999,-299
2600,1874,-9999,-9999,-305
2601,1874,-9999,-9999,-328
2602,1874,-9999,-9999,-348
2603,1874,-9999,-9999,-350
2604,1874,-9999,-9999,-350
2605,1874,-9999,-9999,-352
2606,1874,-9999,-9999,-355
2607,1874,-9999,-9999,-360
2608,1874,-9999,-9999,-365
2609,1874,-9999,-9999,-373
2610,1874,-9999,-9999,-385
2611,1874,-9999,-9999,-397
2612,1874,-9999,-9999,-400
2613,1874,-9999,-9999,-402
2614,1874,-9999,-9999,-402
2615,1874,-9999,-9999,-404
2616,1874,-9999,-9999,-405
2617,1874,-9999,-9999,-404
2618,1874,-9999,-9999,-405
2619,1874,-9999,-9999,-402
2620,1874,-9999,-9999,-400
2621,1874,-9999,-9999,-397
2622,1874,-9999,-9999,-405
2623,1874,-9999,-9999,-414
2624,1874,-9999,-9999,-422
2625,1874,-9999,-9999,-433
2626,1874,-9999,-9999,-448
2627,1874,-9999,-9999,-457
2628,1874,-9999,-9999,-470
2629,1874,-9999,-9999,-478
2630,1874,-9999,-9999,-485
2631,1874,-9999,-9999,-491
2632,1874,-9999,-9999,-496
2633,1874,-9999,-9999,-502
2634,1874,-9999,-9999,-507
2635,1874,-9999,-9999,-511
2636,1874,-9999,-9999,-516
2637,1874,-9999,-9999,-520
2638,1874,-9999,-9999,-524
2639,1874,-9999,-9999,-528
2640,1874,-9999,-9999,-531
2641,1874,13,55,-535
2642,1874,15,55,-538
2643,1874,16,55,-541
2644,1874,16,53,-542
2645,1874,17,55,-544
2646,1874,18,61,-544
2647,1874,19,71,-545
2648,1874,21,86,-544
2649,1874,23,102,-543
2650,1874,25,121,-543
2651,1874,27,141,-541
2652,1874,30,163,-539
2653,1874,32,179,-537
2654,1874,32,176,-534
2655,1874,29,151,-531
2656,1874,26,120,-528
2657,1874,23,93,-524
2658,1874,22,84,-520
2659,1874,23,91,-515
2660,1874,25,104,-511
2661,1874,26,115,-507
2662,1874,27,123,-502
2663,1874,28,130,-498
2664,1874,28,138,-494
2665,1874,29,142,-489
2666,1874,30,146,-484
2667,1874,29,143,-480
2668,1874,28,128,-475
2669,1874,25,105,-471
2670,1874,22,79,-466
2671,1874,20,55,-462
2672,1874,19,43,-458
2673,1874,18,40,-453
2674,1874,19,43,-449
2675,1874,19,47,-444
2676,1874,20,54,-441
2677,1874,21,64,-436
2678,1874,23,83,-432
2679,1874,25,105,-428
2680,1874,27,123,-423
2681,1874,28,132,-419
2592,1875,-9999,-9999,-319
2593,1875,-9999,-9999,-309
2594,1875,-9999,-9999,-303
2595,1875,-9999,-9999,-300
