Col,Row,Surface,Thickness,Bed
2644,1942,30,177,-315
2677,1921,22,91,-268
2607,1962,25,-9999,-450
2652,1973,56,277,-221
2595,1938,24,-9999,-301
2674,1929,33,180,-264
2661,1953,58,243,-185
2621,1882,16,-9999,-471
2649,1961,21,94,-322
2592,1916,23,-9999,-341
2596,1884,16,-9999,-300
2669,1922,35,208,-299
2595,1891,22,-9999,-300
2657,1882,29,146,-508
2599,1883,16,-9999,-301
2644,1908,26,134,-436
2666,1944,10,219,-224
2609,1923,20,-9999,-303
2596,1955,25,-9999,-329
2601,1907,20,-9999,-299
2674,1899,25,99,-374
2600,1882,16,-9999,-304
2678,1891,27,116,-381
2604,1922,23,-9999,-292
2670,1971,519,799,-280
2630,1962,24,-9999,-349
2658,1931,34,200,-293
2601,1948,25,-9999,-304
2680,1923,19,75,-245
2622,1898,16,-9999,-474
2681,1970,729,923,-194
2610,1874,13,-9999,-385
2597,1916,23,-9999,-297
2658,1914,24,98,-376
2675,1928,31,166,-261
2618,1941,27,144,-325
2662,1874,27,123,-502
2593,1933,22,-9999,-304
2672,1922,35,205,-289
2631,1913,29,162,-368
2602,1877,16,-9999,-331
2639,1966,20,-9999,-372
2667,1913,19,54,-347
2610,1972,25,-9999,-413
2632,1976,20,-9999,-390
2623,1934,28,159,-321
2594,1972,25,-9999,-434
2631,1951,26,-9999,-353
2606,1879,16,-9999,-348
2624,1943,27,60,-333
2628,1959,26,-9999,-349
2615,1951,26,-9999,-347
2623,1900,16,-9999,-456
2611,1900,23,-9999,-401
2616,1942,26,114,-325
2641,1897,33,203,-527
2645,1889,29,162,-556
2617,1880,16,-9999,-433
2633,1961,24,-9999,-350
2603,1885,16,-9999,-343
2620,1877,11,-9999,-431
2637,1937,31,180,-324
2608,1973,25,-9999,-403
2659,1949,28,161,-222
2612,1957,26,-9999,-415
2646,1953,24,127,-317
2663,1917,26,118,-341
2634,1897,22,101,-517
2650,1912,24,110,-404
2638,1905,25,130,-454
2637,1890,27,146,-561
2654,1920,34,195,-350
2625,1914,25,131,-348
2642,1976,51,-9999,-573
2612,1876,16,-9999,-402
2629,1938,25,132,-327
2664,1972,412,736,-324
2651,1930,34,204,-313
2668,1892,28,127,-434
2656,1892,29,142,-504
2626,1976,20,-9999,-399
2660,1876,23,93,-505
2647,1874,19,71,-545
2652,1915,28,139,-382
2660,1930,35,209,-291
2647,1968,20,-9999,-396
2635,1928,29,153,-325
2657,1924,24,108,-321
2644,1962,20,-9999,-356
2665,1957,306,398,-92
2652,1945,22,106,-278
2595,1934,22,-9999,-301
2640,1969,20,-9999,-408
2674,1965,595,710,-115
2678,1965,660,788,-128
2621,1918,28,157,-327
2649,1925,27,133,-331
2592,1944,24,-9999,-299
2609,1886,16,-9999,-399
2596,1904,21,-9999,-315
2657,1894,28,140,-491
2599,1919,23,-9999,-292
2600,1959,25,-9999,-447
2661,1878,24,96,-493
2609,1967,25,-9999,-441
2613,1967,26,-9999,-444
2601,1903,22,-9999,-300
2618,1879,15,-9999,-434
2604,1894,16,-9999,-354
2653,1911,22,86,-406
2630,1942,27,132,-333
2658,1967,171,478,-307
2680,1951,552,632,-80
2639,1900,30,172,-501
2610,1910,22,-9999,-275
2672,1887,25,100,-422
2675,1892,27,120,-394
2618,1961,26,-9999,-444
2662,1918,29,153,-340
2679,1972,714,928,-214
2622,1937,29,166,-322
2593,1961,25,-9999,-450
2672,1966,557,676,-119
2631,1885,13,-9999,-534
2676,1966,630,770,-140
2606,1937,24,157,-311
2639,1922,32,192,-343
2667,1893,27,123,-437
2614,1968,26,-9999,-443
2636,1924,32,183,-334
2623,1954,27,-9999,-351
2611,1962,25,-9999,-450
2631,1923,28,152,-330
