Col	Row	ESRI	RMS
3815	3097	62.28044	10
3816	3097	62.16761	10
3817	3097	62.05478	10
3818	3097	61.94194	10
3819	3097	61.82911	10
3820	3097	61.71628	10
3821	3097	61.60345	10
3822	3097	61.49062	10
3823	3097	61.37778	10
3824	3097	61.26495	10
3825	3097	61.15212	10
3826	3097	61.03929	10
3827	3097	60.92646	10
3828	3097	60.81363	10
3829	3097	60.70079	10
3830	3097	60.58796	10
3831	3097	60.47513	10
3832	3097	60.3623	10
3833	3097	60.24947	10
3834	3097	60.13663	10
3835	3097	60.0238	10
3836	3097	59.91097	10
3837	3097	59.79814	10
3838	3097	59.7096	10
3839	3097	59.6296	10
3840	3097	59.5496	10
3841	3097	59.4696	10
3842	3097	59.3896	10
3843	3097	59.3096	10
3844	3097	59.2296	10
3845	3097	59.1496	10
3846	3097	59.0696	10
3847	3097	58.9896	10
3848	3097	58.9096	10
3849	3097	58.8296	10
3850	3097	58.7496	10
3851	3097	58.6696	10
3852	3097	58.5896	10
3853	3097	58.5096	10
3854	3097	58.4296	10
3855	3097	58.3496	10
3856	3097	58.2696	10
3857	3097	58.1896	10
3858	3097	58.1096	10
3859	3097	58.0296	10
3860	3097	57.9496	10
3861	3097	57.8696	10
3862	3097	57.7896	10
3863	3097	57.72175	10
3864	3097	57.65816	10
3865	3097	57.59458	10
3866	3097	57.53099	10
3867	3097	57.46741	10
3868	3097	57.40383	10
3869	3097	57.34024	10
3870	3097	57.27666	10
3871	3097	57.21308	10
3872	3097	57.14949	10
3873	3097	57.08591	10
3874	3097	57.02232	10
3875	3097	56.95874	10
3876	3097	56.89516	10
3877	3097	56.83157	10
3878	3097	56.76799	10
3879	3097	56.7044	10
3880	3097	56.64082	10
3881	3097	56.57724	10
3882	3097	56.51365	10
3883	3097	56.45007	10
3884	3097	56.38648	10
3885	3097	56.3229	10
3886	3097	56.25932	10
3887	3097	56.19573	10
3888	3097	56.13215	10.01215
3889	3097	56.06857	10.02856
3890	3097	56.00498	10.04498
3891	3097	55.94139	10.0614
3892	3097	55.87781	10.07781
3893	3097	55.81423	10.09423
3894	3097	55.75064	10.11064
3895	3097	55.68706	10.12706
3896	3097	55.62347	10.14348
3897	3097	55.55989	10.15989
3898	3097	55.49631	10.17631
3899	3097	55.43272	10.19272
3900	3097	55.36914	10.20914
3901	3097	55.30556	10.22556
3902	3097	55.24197	10.24197
3903	3097	55.17839	10.25839
3904	3097	55.1148	10.2748
3815	3098	62.23167	10
3816	3098	62.11564	10
3817	3098	61.99961	10
3818	3098	61.88358	10
3819	3098	61.76754	10
3820	3098	61.65151	10
3821	3098	61.53548	10
3822	3098	61.41945	10
3823	3098	61.30342	10
3824	3098	61.18739	10
3825	3098	61.07135	10
3826	3098	60.95532	10
3827	3098	60.83929	10
3828	3098	60.72326	10
3829	3098	60.60722	10
3830	3098	60.49119	10
3831	3098	60.37516	10
3832	3098	60.25913	10
3833	3098	60.1431	10
3834	3098	60.02707	10
3835	3098	59.91103	10
3836	3098	59.795	10
3837	3098	59.67897	10
3838	3098	59.5896	10
3839	3098	59.5096	10
3840	3098	59.4296	10
3841	3098	59.3496	10
3842	3098	59.2696	10
3843	3098	59.1896	10
3844	3098	59.1096	10
3845	3098	59.0296	10
3846	3098	58.9496	10
3847	3098	58.8696	10
3848	3098	58.7896	10
3849	3098	58.7096	10
3850	3098	58.6296	10
3851	3098	58.5496	10
3852	3098	58.4696	10
3853	3098	58.3896	10
3854	3098	58.3096	10
3855	3098	58.2296	10
3856	3098	58.1496	10
3857	3098	58.0696	10
3858	3098	57.9896	10
3859	3098	57.9096	10
3860	3098	57.8296	10
3861	3098	57.7496	10
3862	3098	57.6696	10
3863	3098	57.60293	10
3864	3098	57.54095	10
3865	3098	57.47896	10
3866	3098	57.41698	10
3867	3098	57.355	10
3868	3098	57.29301	10
3869	3098	57.23103	10
3870	3098	57.16904	10
3871	3098	57.10706	10
3872	3098	57.04507	10
3873	3098	56.98309	10
3874	3098	56.92111	10
3875	3098	56.85912	10
3876	3098	56.79714	10
3877	3098	56.73516	10
3878	3098	56.67317	10
3879	3098	56.61119	10
3880	3098	56.5492	10
3881	3098	56.48722	10
3882	3098	56.42524	10
3883	3098	56.36325	10
3884	3098	56.30127	10
3885	3098	56.23928	10
3886	3098	56.1773	10
3887	3098	56.11531	10
3888	3098	56.05333	10.01333
3889	3098	55.99135	10.03135
3890	3098	55.92936	10.04936
3891	3098	55.86738	10.06738
3892	3098	55.8054	10.0854
3893	3098	55.74341	10.10341
3894	3098	55.68143	10.12143
3895	3098	55.61944	10.13944
3896	3098	55.55746	10.15746
3897	3098	55.49548	10.17548
3898	3098	55.43349	10.19349
3899	3098	55.37151	10.21151
3900	3098	55.30952	10.22952
3901	3098	55.24754	10.24754
3902	3098	55.18555	10.26556
3903	3098	55.12357	10.28357
3904	3098	55.06159	10.30159
3815	3099	62.1829	10
3816	3099	62.06367	10
3817	3099	61.94444	10
3818	3099	61.82521	10
3819	3099	61.70597	10
3820	3099	61.58675	10
3821	3099	61.46751	10
3822	3099	61.34828	10
3823	3099	61.22905	10
3824	3099	61.10982	10
3825	3099	60.99059	10
3826	3099	60.87135	10
3827	3099	60.75212	10
3828	3099	60.63289	10
3829	3099	60.51366	10
3830	3099	60.39442	10
3831	3099	60.27519	10
3832	3099	60.15596	10
3833	3099	60.03673	10
3834	3099	59.9175	10
3835	3099	59.79826	10
3836	3099	59.67903	10
3837	3099	59.5598	10
3838	3099	59.4696	10
3839	3099	59.3896	10
3840	3099	59.3096	10
3841	3099	59.2296	10
3842	3099	59.1496	10
3843	3099	59.0696	10
3844	3099	58.9896	10
3845	3099	58.9096	10
